FISKEPINNER, TYPE FINDUS	11,1	555	5	Fisk og sjømat
FISKEPUDDING	8,0	400	6	Fisk og sjømat
FLATBRØD	10,4	520	5	Bakevarer
FLESKEPØLSE	13,2	660	4	Kjøttpålegg
FLØTE HAVREFLØTE *	1,0	50	50	Rømme, fløte, melkedessert 
FLØTE KAFFEFLØTE 10% FETT	3,0	150	17	Rømme, fløte, melkedessert 
FLØTE KREMFLØTE 38% FETT	2,1	105	24	Rømme, fløte, melkedessert 
FLØTE MATFLØTE 20% FETT	2,7	135	19	Rømme, fløte, melkedessert 
FLØTE SOYA KREMFLØTE *	1,0	50	50	Rømme, fløte, melkedessert 
FLØTEERSTATN. HUSHOLDNINGSHVITT	0,9	45	56	Rømme, fløte, melkedessert 
FLØTEERSTATNING TOPPING PÅ BOKS	1,5	75	33	Rømme, fløte, melkedessert 
FLØTEERSTATNING WHIPPING	0,7	35	71	Rømme, fløte, melkedessert 
FROKOSTKORN, TYPE SPESIAL K	9,0	450	6	Frokostblandinger
FROMASJ  PULVER TILBEREDT	4,3	215	12	Rømme, fløte, melkedessert 
FRUKTCOCKTAIL HERMETISK	0,4	12	208	Frukt
FRUKTSAUS PULVER	0,0	0	   uten phe	Sukker, søte produkter og godteri
FÅREPØLSE	22,1	1105	2	Kjøttpålegg
GELE AV PULVER, TILBEREDT	1,4	42	60	Flere desserter
GELÉGODTER SEIGMENN	7,6	380	7	Sukker, søte produkter og godteri
GJÆR FERSK	8,4	420	6	Diverse
GJÆR TØRR	40,4	2020	1	Diverse
GLUTENFRIE BOLLER LAGET MED LETTMELK	3,2	160	16	Kaker og kjeks
GLUTENFRIE VAFLER, TYPE TORO	2,6	130	19	Kaker og kjeks
GLUTENFRITT BRØD FINT, TYPE FRIA*	1,0	50	50	Bakevarer
GLUTENFRITT BRØD GROVT, TYPE FRIA*	1,5	75	33	Bakevarer
GLUTENFRITT KNEKKEBRØD TYPE WASA*	5,5	275	9	Bakevarer
GO'DAG FRUKTMÜSLI	9,0	450	6	Frokostblandinger
GOMME, NAMDAL	10,0	500	5	Ost
GRANATEPLE	1,7	51	49	Frukt
GRAPEFRUKT	0,6	18	138	Frukt
GRAPEFRUKTJUICE	0,5	15	167	Saft og juice
GRESSKAR	1,0	30	83	Grønnsaker
GRESSLØK	2,7	81	31	Grønnsaker
GRILLPØLSE KYLLING/KALKUN	12,7	635	4	Pølse
GRILLPØLSE, SVIN	11,5	575	4	Pølse
GROVBAKSTMEL 40% SAMMALT	11,6	580	4	Kornvarer og frø
GRÄDDOST	19,0	955	3	Ost
GRØNNKÅL	3,3	132	19	Grønnsaker
GRØNNSAKSBULJONG TERNINGER, KNORR	9,0	450	6	Diverse
GRØNNSAKSBULJONG TILLAGET, KNORR	0,2	10	250	Diverse
GUAVA	0,8	24	104	Frukt
GULROT	0,7	21	119	Grønnsaker
HALLOUMI	23,9	1195	2	Ost
HAMBURGER RÅ	16,6	830	3	Kjøtt
HASSELNØTTER	15,0	750	3	Nøtter
HAVRE VANILJESAUS FERDIG	1,0	50	50	Rømme, fløte, melkedessert 
HAVREDRIKKE M/KALSIUM OG VITAMINER	0,9	45	56	Melk og yoghurt
HAVREFLAKES	12,0	600	4	Frokostblandinger
HAVREGRYN LETTKOKTE/STORE	11,4	570	4	Kornvarer og frø
HAVREGRØT MED VANN	1,3	65	38	Annen mat med mel/gryn
HAVREKLI	12,3	615	4	Kornvarer og frø
HAVREMEL	11,7	585	4	Kornvarer og frø
HIRSE HELE KORN	10,5	525	5	Kornvarer og frø
HONNIKORN	6,0	300	8	Frokostblandinger
HONNING	0,3	9	278	Sukker, søte produkter og godteri
HVETE FLAK RISTET, TYPE ALL-BRAN	10,4	520	5	Frokostblandinger
HVETE HELKORN/SAMMALT	13,0	650	4	Kornvarer og frø
HVETEBOLLE, TYPE SKOLEBRØD	6,5	325	8	Kaker og kjeks
HVETEBOLLER MED ROSINER	7,3	365	7	Kaker og kjeks
HVETEBOLLER UTEN ROSINER	7,7	385	6	Kaker og kjeks
HVETEKIM	27,4	1370	2	Kornvarer og frø
HVETEKLI	16,6	830	3	Kornvarer og frø
HVETEMEL SIKTET	11,4	570	4	Kornvarer og frø
HVIT SAUS AV PULVER	4,0	200	13	Supper/sauser
HVITLØK	7,9	237	11	Grønnsaker
HVITOST LETTERE, TYPE NORVEGIA	31,0	1550	2	Ost
HVITOST REVET PIZZAOST	28,0	1400	2	Ost
HVITOST, TYPE NORVEGIA, JARLSBERG	27,0	1350	2	Ost
HYLLEBÆR	0,7	21	119	Bær
INGEFÆR SYLTET	0,6	18	139	Grønnsaker
INGEFÆRROT	1,7	51	49	Grønnsaker
